uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5c47f54e-b264-446a-84d4-245768f8e8cf",114,"Payload delivery","md5","e6aab38ff1d7cf9edd1f9279875248fa","",1,1548219726,"","","","",""
"52a4c62d-7611-4292-aa17-a08aec09d88b",114,"Payload delivery","filename","2019-01-22-trickbot-loader.exe","",1,1548220136,"filename","","3ffca240-fd85-4f51-910b-ad6932f4c23a","file","file"
"1c2008c7-f570-472a-8d82-e1be1eb79668",114,"Other","size-in-bytes",232960,"",0,1548219813,"size-in-bytes","","3ffca240-fd85-4f51-910b-ad6932f4c23a","file","file"
"c41cb7c1-e73e-4703-a44d-51a2a8fed74a",114,"Other","float",7.682967694857,"",0,1548219813,"entropy","","3ffca240-fd85-4f51-910b-ad6932f4c23a","file","file"
"85af8158-feb3-4e64-bf7e-3bdc60ce2cb5",114,"Payload delivery","md5","e6aab38ff1d7cf9edd1f9279875248fa","",1,1548219813,"md5","","3ffca240-fd85-4f51-910b-ad6932f4c23a","file","file"
"e26bbbcf-5096-497b-b326-967ef6ab312a",114,"Payload delivery","sha1","fba09f81056ab943bb90e1500cb1d1317ae2e36e","",1,1548219813,"sha1","","3ffca240-fd85-4f51-910b-ad6932f4c23a","file","file"
"76d3e61f-90d5-4fed-b56c-8d6d4805ee31",114,"Payload delivery","sha256","8e4cc0539b4921b0222081a0948bd149f10a027f73983e9ade36d4045f69921f","",1,1548219813,"sha256","","3ffca240-fd85-4f51-910b-ad6932f4c23a","file","file"
"360df383-e053-49ae-b65d-20e693032e6c",114,"Payload delivery","sha512","5e17b9ac8e65b072249d7aa40fceac7f169fd43ce26b2a590dbc124a7257a4a19bd68df9551643a666c8837ce1f38d40b27bf39eba5ebfadb2986e661bfc652e","",1,1548219813,"sha512","","3ffca240-fd85-4f51-910b-ad6932f4c23a","file","file"
"aa47ca0c-52d3-4f33-a7af-2f2cc3d7b58b",114,"Payload delivery","filename","core-parser.dll","",1,1548220126,"filename","","d135cc85-6672-4e0e-be10-90e91b894a9f","file","file"
"0201b616-8acf-4c84-a906-318966f19bf5",114,"Other","size-in-bytes",217600,"",0,1548219850,"size-in-bytes","","d135cc85-6672-4e0e-be10-90e91b894a9f","file","file"
"20fbbad7-bc95-499d-99fc-e1572f0d4681",114,"Other","float",6.5165485023488,"",0,1548219850,"entropy","","d135cc85-6672-4e0e-be10-90e91b894a9f","file","file"
"a68ad5bc-3ea3-41d3-b406-cf7879db34be",114,"Payload delivery","md5","4d0c97d8315be2c87c5b9ec855cad88d","",1,1548219850,"md5","","d135cc85-6672-4e0e-be10-90e91b894a9f","file","file"
"c284d6a7-6431-44cb-a08d-acb268b52bbb",114,"Payload delivery","sha1","fb5d538084489a7b7b4c9be80cd221b338c6b39c","",1,1548219850,"sha1","","d135cc85-6672-4e0e-be10-90e91b894a9f","file","file"
"0351e2ee-4691-4691-8cbf-02e89487707b",114,"Payload delivery","sha256","40bbc0b76af2a2130c3ceaba8a2f1fa255bbbef138e2f37c995ee32c6bcccbf8","",1,1548219850,"sha256","","d135cc85-6672-4e0e-be10-90e91b894a9f","file","file"
"fbc17eeb-7a25-444e-abdb-6b7d179cd6a3",114,"Payload delivery","sha512","b19d95f067e2adeda48554d33397ae16c296db6a4cf9eb66c7abb13ddd964d3c5a83cc7e6074168f512aeb8b64338d7c5cef93a629c8592d4b7ebb731d252d05","",1,1548219850,"sha512","","d135cc85-6672-4e0e-be10-90e91b894a9f","file","file"
